protein,fiber_type,resistance,terbutaline
AIMP2,I,-0.007928913733684281,0.317277254764349
AIMP2,II,0.04046545531635611,-0.05014490738651012
AK1,I,-0.20944886454070297,0.051848724837759944
AK1,II,-0.17566089779812177,-0.020400614437710313
AK2,I,-0.14346832246494223,0.024146477102118088
AK2,II,-0.04231224043058801,-0.11390828516483757
AK3,I,-0.34850247876557816,0.11941322671515213
AK3,II,0.003194507978824701,-0.07557633585930186
AKAP1,I,-0.01951212238560705,-0.044508069707243435
AKAP1,II,0.13759482922674296,-0.481295807672178
AKR1A1,I,0.17704299257737435,0.14011586104877927
AKR1A1,II,0.14273280340547467,0.14782784615610675
AKR1B1,I,-0.15722111616354692,-0.017927751944288417
AKR1B1,II,0.025135300055578735,-0.07833654119904014
AKR1C2,I,0.370981292782069,0.2949423158958456
AKR1C2,II,0.922200369678198,0.7865180568510373
AKR1C3,I,0.3688833689441334,0.4235817394584153
AKR1C3,II,1.2744947214329008,0.6369070451252509
AKR7A2,I,-0.10211322829445864,0.09784187687001691
AKR7A2,II,0.05054931448981437,-0.019498129835790134
AKT1S1,I,-0.4335458609220468,-0.12805097291350237
AKT1S1,II,-0.2863234617769013,0.13442507457533193
AKT2,I,0.17672335057096125,-0.3933890432876777
AKT2,II,0.2436211039096689,0.11004968735004308
ALAD,I,-0.2345334746130676,0.017719497730052325
ALAD,II,0.07057331756494434,0.1047456189214584
ALB,I,0.33000636023339475,-0.07429665277823415
ALB,II,0.4066793413670635,0.049508882026287004
ALDH1A1,I,-0.2639372503064494,-0.1769020364247755
ALDH1A1,II,-0.17120925784535346,-0.2696531411956234
ALDH1A2,I,0.4495215274858853,0.28563002334978466
ALDH1A2,II,0.8283623478787201,0.39929637089185466
ALDH1B1,I,-0.01598110377782699,0.37092253226840993
ALDH1B1,II,0.9271036376286932,0.43070421166838263
ALDH1L1,I,-0.3168614889676896,0.07871434408680364
ALDH1L1,II,-0.1941392687198169,0.19054349246609523
ALDH2,I,-0.11984148052532564,0.23278810959186927
ALDH2,II,-0.13362287587001997,0.0978133052163949
ALDH3A2,I,0.11815873441455084,0.06952909680483461
ALDH3A2,II,0.03333054691303783,0.11827797073298048
ALDH4A1,I,-0.18379015173452626,-0.2007258279148322
ALDH4A1,II,0.10769713913040135,-0.3410912643543657
ALDH5A1,I,-0.3487242279676201,-0.13489341922387482
ALDH5A1,II,-0.1673500274364823,-0.35839148392357795
ALDH6A1,I,-0.4024661281585623,-0.2847774591057292
ALDH6A1,II,-0.2118647633127595,-0.13779554173108055
ALDH7A1,I,0.11635905332764349,-0.09209183625615566
ALDH7A1,II,0.06577223818267952,-0.09952233798767669
ALDH9A1,I,-0.22098192611844197,0.001087498226094834
ALDH9A1,II,-0.0645149343671454,-0.16986754369655888
ALDOA,I,-0.21511772224223336,-0.04812230828319222
ALDOA,II,-0.15751947596956484,-0.13494969413827876
ALDOC,I,-0.4486336569737731,0.45463792803255415
ALDOC,II,-0.45795557911409857,-0.036905172152648845
