protein,sample,abundance,intervention,fiber_type
MYH11,s_20,0.036426061277553184,resistance,II
MYH11,s_73,0.03799094302194118,terbutaline,I
MYH11,s_19,0.040149537418390405,resistance,I
MYH13,s_36,0.1725597332060923,resistance,II
MYH13,s_18,0.16476143948447863,resistance,II
MYH13,s_53,0.13479894179415558,terbutaline,I
MYH13,s_46,0.16328307630992844,terbutaline,II
MYH13,s_91,0.25811164821951105,terbutaline,I
MYH13,s_45,0.14547113783850854,terbutaline,I
MYH13,s_66,0.17010932450238228,terbutaline,II
MYH13,s_85,0.1150962276283858,terbutaline,I
MYH13,s_69,0.10620638091405918,terbutaline,I
MYH13,s_67,0.11449834688421016,terbutaline,I
MYH13,s_37,0.1520922511007382,resistance,I
MYH13,s_38,0.22931100695796966,resistance,II
MYH13,s_40,0.16205514988447856,resistance,II
MYH13,s_41,0.13398200807378455,terbutaline,I
MYH13,s_62,0.17494276388529237,terbutaline,II
MYH13,s_63,0.10503034745978669,terbutaline,I
MYH13,s_92,0.2601573941432356,terbutaline,II
MYH13,s_64,0.20366612516263077,terbutaline,II
MYH13,s_10,0.09451868844087565,resistance,II
MYH13,s_11,0.7174903221575986,resistance,I
MYH13,s_12,0.24560715932488714,resistance,II
MYH13,s_86,0.25274078365928404,terbutaline,II
MYH13,s_80,0.16330587624853915,terbutaline,II
MYH13,s_33,0.11010264914855508,resistance,I
MYH13,s_32,0.15489338084531293,resistance,II
MYH13,s_70,0.1553737690312479,terbutaline,II
MYH13,s_54,0.22271367882989412,terbutaline,II
MYH13,s_42,0.15676191725342456,terbutaline,II
MYH13,s_61,0.11423364884012037,terbutaline,I
MYH13,s_58,0.15725491033746866,terbutaline,II
MYH13,s_90,0.12103308321306944,terbutaline,II
MYH13,s_44,0.2179864073034258,terbutaline,II
MYH13,s_75,0.10515979694523511,terbutaline,I
MYH13,s_76,0.26249195647926554,terbutaline,II
MYH13,s_14,0.20904045221108492,resistance,II
MYH13,s_34,0.1513258032690165,resistance,II
MYH13,s_16,0.1781602104925056,resistance,II
MYH13,s_29,0.18434857098216434,resistance,I
MYH13,s_30,0.11325904059721317,resistance,II
MYH13,s_72,0.21504921076844052,terbutaline,II
MYH13,s_73,0.1166386357107353,terbutaline,I
MYH13,s_88,0.17977306970882537,terbutaline,II
MYH13,s_43,0.12862262041777112,terbutaline,I
MYH13,s_89,0.11217376484149852,terbutaline,I
MYH13,s_9,0.1259489675404329,resistance,I
MYH13,s_24,0.1792607111016207,resistance,II
MYH13,s_25,0.15414924577605676,resistance,I
MYH13,s_79,0.12014904402155864,terbutaline,I
